accountname,scanname,eventdate,scanner_name,policyname,hostname,totalseveritycount,info,low,medium,high,critical
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-037d6e359ccd6b48f,92,79,2,7,4,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-04cd2743efce7634f,67,60,3,2,2,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-04ea72810683a4d56,61,55,0,6,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0bccf2c4ffdee6bcf,60,46,0,13,1,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-06a5715b8331a5c02,41,38,3,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-08c6672362015d7a9,37,33,3,1,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-00eb5719cadb2a8ad,35,32,0,2,1,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-087018f219e972146,35,32,0,2,1,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-070d1c611f5e08818,31,30,0,1,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0a062c56d7573c574,31,31,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0036785cd5ac4d9f6,18,18,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-07c29413cfa98431f,17,17,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-091cf771b31324719,17,17,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0ad1820b25c6023a8,9,9,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-07daf3f2459e86f5f,5,5,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0596183e58a5b351d,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0b1a0025dfa6deb8a,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0a8d230fc8b950b24,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0c9b9e2b2eee189fa,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-06a63f02b6093bfcf,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0e9a1b330764de645,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0421988d22d97e8ab,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-00a8f1a0d0fc3d35b,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-0f6f118082feaf473,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-064f2c22bbc5a154f,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_US_Prod1,2022-02-07 14:12:26,AWS_Scanner_Prod1,Basic Network Scan,i-05495c48163c2f7fd,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-03f4e9dfbdf6b4954,134,124,0,10,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-043b2ba72d03362e3,125,116,0,9,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0c3705c84c32e730f,102,96,0,6,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-012c00da41f4b2457,60,53,0,7,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0edc383cefcc9d55e,38,37,0,1,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0704653985d9ab59f,34,33,0,1,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-03509e5c4f906ada3,20,19,1,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-078becf4f894a87ee,20,19,0,1,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-04dc4d3061b767683,20,19,1,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0a724b09852081d68,5,5,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0f10c3ae6e4b7dcfc,4,4,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-040a93bc3fad0eb3e,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-072c1ea2d489fb4b7,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-034fe732259024f63,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0c8d60723bb0c89c5,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-035a033a0e8e00ef5,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-042b776e297eab0e7,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0771aedd0cd9da435,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0b95c615b2a39a3ca,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-077c5e1477a59fb43,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-01dfcaafec318686f,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0401cbbe6a5f1a115,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-00a7e3b4ab209e1c7,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-012fdea482210b25c,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-03051df78902364a0,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0f529ecce10d583a2,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-039727a65fd7423ac,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0264daf4066ac2976,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0d88c2067b4129bde,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-04b0fcaced22dc204,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0968722f6421f6774,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0eb8eced34af2c975,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0d9575c76762f6ec3,1,1,0,0,0,0
jbrenes1@snapfinance.com,BasicNetworkScan_UK,2022-02-07 13:08:00,AWS_Scanner_UK,Basic Network Scan,i-0c8b4a8907ce9e9b4,1,1,0,0,0,0
