SYMBOL,NAME,PRICEUSD,ID,SUPPLY,EXPLORER
BTC,Bitcoin,43530.1235691262716757,bitcoin,18954618.0000000000000000,https://blockchain.info/
ETH,Ethereum,3110.4791167434425481,ethereum,119533615.4990000000000000,https://etherscan.io/
USDT,Tether,1.0021607512655782,tether,78385451172.8446200000000000,https://www.omniexplorer.info/asset/31
BNB,BNB,417.0716610152221908,binance-coin,166801148.0000000000000000,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
USDC,USD Coin,1.0001975688240374,usd-coin,52113463263.9233400000000000,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
ADA,Cardano,1.1549527215887175,cardano,33592646021.8100000000000000,https://cardanoexplorer.com/
XRP,XRP,0.8204335713461562,xrp,45404028640.0000000000000000,https://xrpcharts.ripple.com/#/graph/
SOL,Solana,106.4190671937316281,solana,317630445.3516680600000000,https://explorer.solana.com/
DOT,Polkadot,20.6269809556547860,polkadot,1083385485.1083800000000000,https://polkascan.io/polkadot
AVAX,Avalanche,89.9457725534315157,avalanche,245277495.9896745400000000,https://avascan.info/
LUNA,Terra,54.1740633859197529,terra-luna,401116808.2891468000000000,https://finder.terra.money/
DOGE,Dogecoin,0.1531752161737937,dogecoin,132670764299.8940900000000000,http://dogechain.info/chain/Dogecoin
BUSD,Binance USD,1.0014236332459410,binance-usd,17575094794.0392570000000000,https://etherscan.io/token/0x4Fabb145d64652a948d72533023f6E7A623C7C53
SHIB,Shiba Inu,0.0000311116209385,shiba-inu,549063278876301.9400000000000000,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
MATIC,Polygon,1.8636436420616594,polygon,7477274364.2700000000000000,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
CRO,Crypto.com Coin,0.5164529606689856,crypto-com-coin,25263013692.0000000000000000,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
